Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
11/08/2010,23:05:00,SECONDARY CODES,Wednesday,TARAVAL,NONE,
12/06/2007,12:00:00,OTHER OFFENSES,Tuesday,CENTRAL,NONE,
12/07/2007,02:00:00,VANDALISM,Thursday,TARAVAL,NONE,
19/10/2012,15:00:00,OTHER OFFENSES,Friday,TARAVAL,PROSECUTED BY OUTSIDE AGENCY,
27/04/2009,19:27:00,DISORDERLY CONDUCT,Monday,PARK,ARREST,BOOKED
11/06/2013,21:00:00,ASSAULT,Tuesday,BAYVIEW,COMPLAINANT REFUSES TO PROSECUTE,
22/09/2012,23:40:00,ROBBERY,Saturday,INGLESIDE,NONE,
14/10/2008,08:45:00,BURGLARY,Tuesday,PARK,NONE,
22/03/2005,14:00:00,VEHICLE THEFT,Tuesday,MISSION,NONE,
20/03/2003,08:20:00,OTHER OFFENSES,Thursday,SOUTHERN,NONE,
15/11/2006,06:00:00,LARCENY\/THEFT,Wednesday,TENDERLOIN,NONE,
10/11/2009,08:55:00,SECONDARY CODES,Tuesday,BAYVIEW,NONE,
26/07/2008,00:03:00,NON-CRIMINAL,Saturday,PARK,NONE,
06/02/2003,10:30:00,NON-CRIMINAL,Thursday,TARAVAL,NONE,
23/02/2006,22:50:00,OTHER OFFENSES,Thursday,TARAVAL,NONE,
10/02/2006,17:30:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
27/11/2003,21:00:00,VEHICLE THEFT,Thursday,PARK,NONE,
04/03/2004,01:33:00,NON-CRIMINAL,Thursday,INGLESIDE,PSYCHOPATHIC CASE,
30/05/2009,00:01:00,ASSAULT,Saturday,BAYVIEW,NONE,
03/06/2011,21:07:00,LARCENY\/THEFT,Friday,PARK,NONE,
24/09/2011,23:00:00,ASSAULT,Saturday,SOUTHERN,NONE,
22/08/2012,17:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
23/07/2004,12:00:00,NON-CRIMINAL,Friday,RICHMOND,NONE,
06/03/2013,00:01:00,VEHICLE THEFT,Wednesday,TARAVAL,NONE,
12/12/2012,15:44:00,OTHER OFFENSES,Wednesday,MISSION,ARREST,CITED
21/02/2013,03:34:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
04/05/2014,01:00:00,LARCENY\/THEFT,Sunday,MISSION,NONE,
15/05/2004,02:30:00,LARCENY\/THEFT,Saturday,INGLESIDE,NONE,
09/01/2012,14:45:00,LARCENY\/THEFT,Monday,CENTRAL,ARREST,BOOKED
12/07/2011,13:30:00,NON-CRIMINAL,Tuesday,SOUTHERN,NONE,
13/04/2004,16:15:00,WARRANTS,Tuesday,SOUTHERN,ARREST,BOOKED
23/03/2013,23:15:00,STOLEN PROPERTY,Saturday,SOUTHERN,ARREST,BOOKED
01/12/2005,18:00:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
29/07/2006,15:54:00,LARCENY\/THEFT,Saturday,NORTHERN,ARREST,BOOKED
28/04/2008,18:00:00,BURGLARY,Monday,BAYVIEW,ARREST,BOOKED
02/11/2014,01:39:00,ROBBERY,Sunday,SOUTHERN,NONE,
07/05/2005,11:30:00,NON-CRIMINAL,Saturday,BAYVIEW,NONE,
16/10/2008,16:00:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
12/03/2005,16:48:00,BURGLARY,Saturday,SOUTHERN,NONE,
11/08/2010,06:30:00,LARCENY\/THEFT,Wednesday,BAYVIEW,NONE,
27/04/2009,08:00:00,LARCENY\/THEFT,Monday,RICHMOND,NONE,
03/09/2014,22:00:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
30/09/2008,23:46:00,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST,BOOKED
30/01/2011,15:10:00,OTHER OFFENSES,Sunday,RICHMOND,ARREST,BOOKED
16/12/2006,12:30:00,LARCENY\/THEFT,Saturday,RICHMOND,NONE,
09/03/2013,11:03:00,NON-CRIMINAL,Saturday,PARK,ARREST,CITED
25/07/2012,13:54:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
25/06/2004,12:30:00,LARCENY\/THEFT,Friday,SOUTHERN,ARREST,BOOKED
10/12/2003,13:30:00,ROBBERY,Wednesday,TARAVAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
25/12/2003,17:00:00,OTHER OFFENSES,Thursday,BAYVIEW,NONE,
09/01/2006,09:30:00,ASSAULT,Monday,BAYVIEW,NONE,
20/09/2014,18:29:00,OTHER OFFENSES,Saturday,PARK,ARREST,BOOKED
26/11/2003,09:00:00,VEHICLE THEFT,Wednesday,BAYVIEW,NONE,
04/04/2008,03:45:00,OTHER OFFENSES,Friday,MISSION,ARREST,CITED
27/07/2014,17:20:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
20/04/2012,16:50:00,DRUG\/NARCOTIC,Friday,SOUTHERN,ARREST,BOOKED
01/06/2006,23:54:00,ARSON,Thursday,SOUTHERN,NONE,
09/02/2012,00:35:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
05/05/2012,10:30:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
22/08/2003,18:00:00,BURGLARY,Friday,NORTHERN,NONE,
05/08/2008,06:50:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
30/10/2003,12:16:00,OTHER OFFENSES,Thursday,BAYVIEW,ARREST,CITED
27/06/2014,13:20:00,ASSAULT,Friday,PARK,NONE,
04/04/2009,14:45:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
27/10/2003,19:58:00,VEHICLE THEFT,Monday,BAYVIEW,NONE,
02/12/2006,18:30:00,VEHICLE THEFT,Saturday,PARK,NONE,
29/11/2007,13:45:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,BOOKED
20/04/2010,11:00:00,LARCENY\/THEFT,Tuesday,TARAVAL,NONE,
17/06/2006,13:50:00,VANDALISM,Saturday,NORTHERN,NONE,
13/11/2013,11:35:00,WARRANTS,Wednesday,TENDERLOIN,ARREST,BOOKED
25/07/2012,21:30:00,STOLEN PROPERTY,Wednesday,BAYVIEW,NONE,
17/11/2011,06:16:00,DISORDERLY CONDUCT,Thursday,NORTHERN,ARREST,CITED
28/04/2008,00:44:00,ROBBERY,Monday,BAYVIEW,NONE,
04/06/2010,06:00:00,TRESPASS,Friday,SOUTHERN,NONE,
16/04/2013,21:15:00,VANDALISM,Tuesday,SOUTHERN,NONE,
01/10/2003,23:56:00,VEHICLE THEFT,Wednesday,BAYVIEW,NONE,
12/12/2006,18:20:00,LARCENY\/THEFT,Tuesday,CENTRAL,ARREST,CITED
16/04/2009,11:00:00,WARRANTS,Thursday,BAYVIEW,ARREST,BOOKED
03/10/2011,13:06:00,OTHER OFFENSES,Monday,SOUTHERN,ARREST,CITED
01/07/2010,21:48:00,DRUG\/NARCOTIC,Thursday,MISSION,ARREST,BOOKED
03/04/2015,01:25:00,ASSAULT,Friday,SOUTHERN,NONE,
30/11/2008,15:12:00,SECONDARY CODES,Sunday,TENDERLOIN,NONE,
06/09/2014,09:00:00,LARCENY\/THEFT,Saturday,TENDERLOIN,NONE,
13/06/2012,17:24:00,WARRANTS,Wednesday,BAYVIEW,ARREST,BOOKED
28/01/2010,13:30:00,LARCENY\/THEFT,Thursday,RICHMOND,NONE,
05/09/2011,00:25:00,OTHER OFFENSES,Monday,MISSION,ARREST,CITED
06/09/2007,16:30:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
17/05/2010,11:55:00,LARCENY\/THEFT,Monday,CENTRAL,NONE,
16/09/2013,16:00:00,LARCENY\/THEFT,Monday,RICHMOND,NONE,
03/10/2008,21:50:00,OTHER OFFENSES,Friday,NORTHERN,ARREST,CITED
12/08/2007,20:00:00,VEHICLE THEFT,Sunday,TENDERLOIN,NONE,
01/05/2014,14:00:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
11/09/2010,15:15:00,MISSING PERSON,Saturday,CENTRAL,LOCATED,
28/12/2005,02:01:00,ASSAULT,Wednesday,RICHMOND,ARREST,BOOKED
23/08/2003,06:20:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
11/01/2006,15:45:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
04/04/2003,13:13:00,WARRANTS,Friday,TENDERLOIN,ARREST,BOOKED
31/05/2010,19:50:00,WARRANTS,Monday,BAYVIEW,ARREST,BOOKED
24/01/2007,10:33:00,WARRANTS,Wednesday,SOUTHERN,ARREST,BOOKED
23/07/2004,17:30:00,NON-CRIMINAL,Friday,PARK,NONE,
11/02/2006,20:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
31/07/2010,13:30:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
12/12/2007,02:09:00,DRUG\/NARCOTIC,Wednesday,BAYVIEW,ARREST,BOOKED
22/09/2005,21:00:00,VANDALISM,Thursday,RICHMOND,NONE,
10/06/2003,20:30:00,ASSAULT,Tuesday,MISSION,NONE,
13/12/2008,19:00:00,LARCENY\/THEFT,Saturday,TENDERLOIN,NONE,
09/02/2010,15:40:00,ASSAULT,Tuesday,TARAVAL,ARREST,CITED
17/09/2003,21:00:00,LARCENY\/THEFT,Wednesday,INGLESIDE,NONE,
09/04/2005,12:30:00,DRUG\/NARCOTIC,Saturday,PARK,ARREST,BOOKED
08/08/2014,02:50:00,NON-CRIMINAL,Friday,MISSION,PSYCHOPATHIC CASE,
17/03/2009,12:34:00,OTHER OFFENSES,Tuesday,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
25/07/2007,20:05:00,ROBBERY,Wednesday,RICHMOND,NONE,
04/04/2014,00:01:00,SUSPICIOUS OCC,Friday,BAYVIEW,NONE,
20/02/2009,01:28:00,NON-CRIMINAL,Friday,MISSION,NONE,
16/12/2012,21:28:00,OTHER OFFENSES,Sunday,RICHMOND,ARREST,BOOKED
21/03/2012,00:28:00,SUSPICIOUS OCC,Wednesday,NORTHERN,ARREST,BOOKED
28/12/2013,22:00:00,ASSAULT,Saturday,INGLESIDE,NONE,
11/07/2012,17:15:00,OTHER OFFENSES,Wednesday,CENTRAL,ARREST,CITED
24/08/2008,14:45:00,LARCENY\/THEFT,Sunday,MISSION,NONE,
04/11/2007,18:00:00,ASSAULT,Sunday,NORTHERN,ARREST,BOOKED
12/06/2008,16:30:00,VANDALISM,Thursday,TARAVAL,NONE,
16/05/2005,19:10:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
09/11/2009,10:45:00,OTHER OFFENSES,Monday,BAYVIEW,ARREST,CITED
23/03/2007,17:30:00,BURGLARY,Friday,SOUTHERN,NONE,
10/02/2006,12:00:00,LARCENY\/THEFT,Friday,MISSION,NONE,
09/06/2008,12:00:00,SUSPICIOUS OCC,Monday,CENTRAL,NONE,
03/10/2011,19:00:00,WARRANTS,Monday,BAYVIEW,ARREST,BOOKED
28/12/2008,23:38:00,ROBBERY,Sunday,PARK,NONE,
19/10/2008,16:25:00,SUSPICIOUS OCC,Sunday,SOUTHERN,PROSECUTED BY OUTSIDE AGENCY,
26/11/2008,15:00:00,BURGLARY,Wednesday,RICHMOND,NONE,
26/08/2006,06:00:00,RECOVERED VEHICLE,Saturday,SOUTHERN,NONE,
09/08/2013,21:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
28/07/2013,11:00:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
29/10/2007,19:29:00,ASSAULT,Monday,INGLESIDE,ARREST,CITED
27/04/2015,22:30:00,ASSAULT,Monday,RICHMOND,ARREST,BOOKED
09/12/2013,17:41:00,OTHER OFFENSES,Monday,TENDERLOIN,ARREST,CITED
06/05/2010,10:56:00,ASSAULT,Thursday,SOUTHERN,NONE,
15/07/2005,16:03:00,ASSAULT,Friday,BAYVIEW,NONE,
07/09/2003,16:33:00,OTHER OFFENSES,Sunday,PARK,ARREST,CITED
29/05/2008,14:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
28/01/2005,23:00:00,VANDALISM,Friday,CENTRAL,NONE,
05/10/2006,19:27:00,DRUG\/NARCOTIC,Thursday,SOUTHERN,ARREST,BOOKED
28/12/2011,17:00:00,LARCENY\/THEFT,Wednesday,MISSION,NONE,
09/09/2011,19:10:00,OTHER OFFENSES,Friday,TENDERLOIN,ARREST,BOOKED
15/04/2008,23:00:00,SUSPICIOUS OCC,Tuesday,TENDERLOIN,NONE,
20/10/2010,11:42:00,OTHER OFFENSES,Wednesday,SOUTHERN,NONE,
13/04/2009,12:30:00,SECONDARY CODES,Monday,MISSION,ARREST,BOOKED
04/09/2008,00:01:00,EMBEZZLEMENT,Thursday,NORTHERN,NONE,
11/03/2010,18:09:00,FORGERY\/COUNTERFEITING,Thursday,SOUTHERN,NONE,
26/06/2012,19:30:00,VANDALISM,Tuesday,RICHMOND,NONE,
06/04/2003,18:00:00,OTHER OFFENSES,Sunday,BAYVIEW,NONE,
21/02/2011,11:45:00,NON-CRIMINAL,Monday,TARAVAL,NONE,
04/09/2004,18:00:00,LARCENY\/THEFT,Saturday,MISSION,NONE,
09/02/2013,10:05:00,OTHER OFFENSES,Saturday,BAYVIEW,ARREST,BOOKED
05/03/2012,10:03:00,DRUG\/NARCOTIC,Monday,BAYVIEW,ARREST,BOOKED
09/02/2010,15:44:00,MISSING PERSON,Tuesday,SOUTHERN,LOCATED,
14/06/2009,20:24:00,VANDALISM,Sunday,MISSION,NONE,
16/11/2012,04:30:00,WARRANTS,Friday,CENTRAL,ARREST,BOOKED
21/09/2014,01:00:00,LARCENY\/THEFT,Sunday,MISSION,NONE,
17/05/2008,16:20:00,OTHER OFFENSES,Saturday,MISSION,ARREST,CITED
18/05/2011,10:00:00,MISSING PERSON,Wednesday,PARK,LOCATED,
12/12/2012,08:28:00,VEHICLE THEFT,Wednesday,SOUTHERN,NONE,
12/06/2009,05:00:00,NON-CRIMINAL,Friday,SOUTHERN,NONE,
09/08/2014,20:30:00,FRAUD,Saturday,RICHMOND,NONE,
11/05/2009,04:42:00,OTHER OFFENSES,Monday,CENTRAL,ARREST,BOOKED
10/08/2014,22:03:00,OTHER OFFENSES,Sunday,NORTHERN,ARREST,CITED
12/01/2012,16:12:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
07/03/2011,11:30:00,LARCENY\/THEFT,Monday,TENDERLOIN,NONE,
06/07/2009,13:30:00,SECONDARY CODES,Monday,SOUTHERN,NONE,
05/08/2003,12:15:00,TRESPASS,Tuesday,TARAVAL,NONE,
18/03/2014,18:00:00,ASSAULT,Tuesday,CENTRAL,ARREST,BOOKED
29/10/2004,16:00:00,SECONDARY CODES,Friday,RICHMOND,NONE,
06/08/2008,09:00:00,BURGLARY,Wednesday,BAYVIEW,NONE,
26/01/2007,15:00:00,NON-CRIMINAL,Friday,CENTRAL,NONE,
18/10/2012,07:30:00,MISSING PERSON,Thursday,BAYVIEW,LOCATED,
12/01/2005,14:30:00,LARCENY\/THEFT,Wednesday,RICHMOND,NONE,
03/06/2012,20:15:00,WARRANTS,Sunday,TENDERLOIN,ARREST,BOOKED
30/11/2008,00:30:00,VANDALISM,Sunday,TARAVAL,NONE,
15/04/2003,22:45:00,PROSTITUTION,Tuesday,TENDERLOIN,ARREST,CITED
03/04/2004,14:30:00,OTHER OFFENSES,Saturday,TARAVAL,NONE,
23/02/2007,07:30:00,OTHER OFFENSES,Friday,MISSION,ARREST,CITED
14/08/2005,00:01:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
20/04/2014,10:00:00,VEHICLE THEFT,Sunday,BAYVIEW,ARREST,BOOKED
01/05/2007,14:20:00,SUSPICIOUS OCC,Tuesday,INGLESIDE,NONE,
12/05/2004,13:00:00,SUSPICIOUS OCC,Wednesday,PARK,NONE,
29/11/2009,13:45:00,ASSAULT,Sunday,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
08/02/2014,15:30:00,LARCENY\/THEFT,Saturday,SOUTHERN,ARREST,BOOKED
16/01/2011,12:00:00,NON-CRIMINAL,Sunday,RICHMOND,NONE,
04/03/2003,01:00:00,VANDALISM,Tuesday,TARAVAL,NONE,
01/05/2014,07:21:00,ASSAULT,Thursday,MISSION,ARREST,BOOKED
15/09/2009,08:25:00,ROBBERY,Tuesday,INGLESIDE,NONE,
21/03/2015,10:30:00,MISSING PERSON,Saturday,SOUTHERN,NONE,
07/04/2005,16:10:00,NON-CRIMINAL,Thursday,TENDERLOIN,NONE,
21/05/2005,23:33:00,WARRANTS,Saturday,TENDERLOIN,ARREST,BOOKED
30/05/2003,18:45:00,SUSPICIOUS OCC,Friday,MISSION,NONE,
16/05/2007,19:49:00,VANDALISM,Wednesday,MISSION,ARREST,BOOKED
12/08/2012,19:15:00,ROBBERY,Sunday,SOUTHERN,NONE,
20/02/2009,00:01:00,FRAUD,Friday,INGLESIDE,NONE,
12/11/2007,00:01:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
15/12/2010,16:05:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
29/01/2010,16:35:00,ASSAULT,Friday,SOUTHERN,ARREST,BOOKED
15/05/2013,00:10:00,NON-CRIMINAL,Wednesday,NORTHERN,PSYCHOPATHIC CASE,
30/12/2011,10:45:00,VANDALISM,Friday,INGLESIDE,ARREST,CITED
26/07/2008,23:30:00,OTHER OFFENSES,Saturday,MISSION,NONE,
08/02/2008,00:01:00,FRAUD,Friday,INGLESIDE,NONE,
21/02/2015,22:00:00,LARCENY\/THEFT,Saturday,PARK,NONE,
09/01/2009,13:40:00,OTHER OFFENSES,Friday,INGLESIDE,NONE,
29/12/2012,21:30:00,VEHICLE THEFT,Saturday,BAYVIEW,NONE,
15/05/2014,16:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
13/11/2014,00:34:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
22/03/2007,10:49:00,DRUG\/NARCOTIC,Thursday,MISSION,ARREST,CITED
20/08/2013,18:00:00,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE,
29/07/2007,00:01:00,OTHER OFFENSES,Sunday,TENDERLOIN,ARREST,CITED
18/10/2006,15:34:00,VEHICLE THEFT,Wednesday,INGLESIDE,NONE,
03/08/2004,18:22:00,NON-CRIMINAL,Tuesday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
22/04/2005,08:00:00,MISSING PERSON,Friday,BAYVIEW,LOCATED,
31/05/2003,07:55:00,SUSPICIOUS OCC,Saturday,SOUTHERN,NONE,
30/04/2012,17:06:00,TRESPASS,Monday,TENDERLOIN,ARREST,BOOKED
18/03/2008,20:00:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
08/07/2009,13:00:00,BURGLARY,Wednesday,SOUTHERN,NONE,
25/11/2009,04:00:00,OTHER OFFENSES,Wednesday,TARAVAL,ARREST,CITED
30/04/2003,17:30:00,SEX OFFENSES FORCIBLE,Wednesday,PARK,NONE,
30/11/2014,17:00:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
14/11/2008,22:40:00,LARCENY\/THEFT,Friday,INGLESIDE,NONE,
27/06/2012,11:35:00,NON-CRIMINAL,Wednesday,SOUTHERN,NONE,
23/09/2006,15:45:00,VANDALISM,Saturday,TARAVAL,NONE,
31/08/2009,11:20:00,OTHER OFFENSES,Monday,MISSION,ARREST,CITED
11/12/2007,19:30:00,LARCENY\/THEFT,Tuesday,TARAVAL,NONE,
15/05/2014,23:00:00,ROBBERY,Thursday,CENTRAL,NONE,
18/05/2007,19:30:00,LARCENY\/THEFT,Friday,INGLESIDE,NONE,
31/10/2009,07:30:00,VANDALISM,Saturday,RICHMOND,NONE,
03/03/2008,12:12:00,WARRANTS,Monday,MISSION,ARREST,BOOKED
04/05/2005,09:55:00,NON-CRIMINAL,Wednesday,MISSION,PSYCHOPATHIC CASE,
27/08/2005,14:45:00,DRUG\/NARCOTIC,Saturday,SOUTHERN,ARREST,BOOKED
21/04/2011,19:50:00,LARCENY\/THEFT,Thursday,MISSION,NONE,
14/12/2008,16:00:00,NON-CRIMINAL,Sunday,CENTRAL,NONE,
21/02/2013,22:27:00,DRUNKENNESS,Thursday,SOUTHERN,ARREST,BOOKED
27/03/2010,11:37:00,SUSPICIOUS OCC,Saturday,BAYVIEW,NONE,
07/08/2014,17:05:00,OTHER OFFENSES,Thursday,MISSION,ARREST,BOOKED
08/01/2007,16:45:00,DRUG\/NARCOTIC,Monday,BAYVIEW,ARREST,BOOKED
11/07/2012,15:00:00,ASSAULT,Wednesday,TENDERLOIN,PSYCHOPATHIC CASE,
10/08/2005,11:30:00,LARCENY\/THEFT,Wednesday,CENTRAL,NONE,
12/11/2007,17:54:00,ASSAULT,Monday,NORTHERN,ARREST,BOOKED
09/02/2006,09:33:00,WARRANTS,Thursday,MISSION,NONE,
19/09/2005,14:00:00,VANDALISM,Monday,NORTHERN,NONE,
04/04/2013,16:45:00,LARCENY\/THEFT,Thursday,MISSION,NONE,
17/10/2013,23:30:00,LARCENY\/THEFT,Thursday,PARK,NONE,
25/02/2006,13:30:00,WARRANTS,Saturday,MISSION,ARREST,BOOKED
28/06/2013,14:00:00,TRESPASS,Friday,NORTHERN,NONE,
29/01/2005,18:00:00,SUSPICIOUS OCC,Saturday,SOUTHERN,NONE,
14/05/2012,00:01:00,OTHER OFFENSES,Monday,NORTHERN,NONE,
25/01/2012,10:50:00,BURGLARY,Wednesday,MISSION,NONE,
18/10/2003,12:00:00,FRAUD,Saturday,NORTHERN,NOT PROSECUTED,
03/06/2012,20:00:00,LARCENY\/THEFT,Sunday,MISSION,NONE,
12/12/2005,23:20:00,SUSPICIOUS OCC,Monday,SOUTHERN,NONE,
13/05/2003,10:00:00,VEHICLE THEFT,Tuesday,PARK,NONE,
25/05/2004,11:57:00,ASSAULT,Tuesday,CENTRAL,NONE,
30/05/2009,16:00:00,NON-CRIMINAL,Saturday,CENTRAL,NONE,
24/08/2014,01:22:00,OTHER OFFENSES,Sunday,INGLESIDE,ARREST,CITED
28/05/2009,16:35:00,MISSING PERSON,Thursday,MISSION,NONE,
03/05/2013,15:45:00,ROBBERY,Friday,TARAVAL,NONE,
11/03/2012,11:15:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
20/09/2011,17:32:00,WARRANTS,Tuesday,NORTHERN,ARREST,BOOKED
19/01/2004,11:30:00,LARCENY\/THEFT,Monday,INGLESIDE,NONE,
31/01/2010,00:01:00,OTHER OFFENSES,Sunday,INGLESIDE,EXCEPTIONAL CLEARANCE,
03/04/2015,21:44:00,WEAPON LAWS,Friday,NORTHERN,ARREST,BOOKED
29/11/2010,12:28:00,ASSAULT,Monday,SOUTHERN,ARREST,BOOKED
16/05/2012,00:47:00,VANDALISM,Wednesday,PARK,NONE,
19/08/2013,16:57:00,WEAPON LAWS,Monday,INGLESIDE,ARREST,BOOKED
05/06/2011,00:38:00,WARRANTS,Sunday,MISSION,ARREST,BOOKED
29/01/2005,19:35:00,OTHER OFFENSES,Saturday,SOUTHERN,JUVENILE CITED,
26/08/2012,01:10:00,ROBBERY,Sunday,MISSION,NONE,
10/07/2008,22:00:00,VEHICLE THEFT,Thursday,TARAVAL,NONE,
20/03/2012,13:45:00,FRAUD,Tuesday,SOUTHERN,NONE,
28/10/2008,17:12:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
20/02/2008,16:00:00,ASSAULT,Wednesday,NORTHERN,NONE,
11/01/2015,00:01:00,ASSAULT,Sunday,BAYVIEW,NONE] } },
15/11/2003,10:45:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
15/11/2003,18:00:00,VANDALISM,Saturday,NORTHERN,NONE,
12/03/2010,22:00:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
15/12/2011,20:00:00,VEHICLE THEFT,Thursday,TARAVAL,NONE,
06/03/2013,12:14:00,RECOVERED VEHICLE,Wednesday,INGLESIDE,NONE,
13/11/2004,22:00:00,VEHICLE THEFT,Saturday,INGLESIDE,NONE,
18/04/2003,21:47:00,WARRANTS,Friday,MISSION,ARREST,BOOKED
08/01/2003,04:30:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
18/11/2011,01:36:00,ASSAULT,Friday,RICHMOND,NONE,
13/06/2009,14:15:00,LARCENY\/THEFT,Saturday,TARAVAL,ARREST,BOOKED
12/03/2006,11:40:00,ASSAULT,Sunday,SOUTHERN,NONE,
10/07/2006,07:00:00,MISSING PERSON,Monday,PARK,LOCATED,
16/07/2010,16:00:00,SUSPICIOUS OCC,Friday,SOUTHERN,NONE,
28/03/2010,06:45:00,WARRANTS,Sunday,MISSION,ARREST,BOOKED
16/04/2015,07:30:00,OTHER OFFENSES,Thursday,INGLESIDE,NONE,
09/03/2014,13:47:00,WARRANTS,Sunday,PARK,ARREST,BOOKED
31/12/2011,13:45:00,LARCENY\/THEFT,Saturday,CENTRAL,ARREST,CITED
05/02/2008,09:30:00,ASSAULT,Tuesday,BAYVIEW,NONE,
14/10/2013,00:01:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
27/05/2014,16:20:00,LARCENY\/THEFT,Tuesday,TENDERLOIN,ARREST,BOOKED
08/03/2011,10:04:00,OTHER OFFENSES,Tuesday,TENDERLOIN,ARREST,BOOKED
27/02/2011,17:31:00,SUSPICIOUS OCC,Sunday,BAYVIEW,NONE,
19/04/2015,18:32:00,WARRANTS,Sunday,SOUTHERN,ARREST,BOOKED
19/10/2012,21:09:00,DRUG\/NARCOTIC,Friday,NORTHERN,ARREST,BOOKED
26/02/2010,12:20:00,NON-CRIMINAL,Friday,SOUTHERN,NONE,
14/01/2011,15:32:00,WARRANTS,Friday,BAYVIEW,JUVENILE BOOKED,
21/09/2013,13:00:00,VANDALISM,Saturday,NORTHERN,NONE,
07/03/2009,12:00:00,ASSAULT,Saturday,MISSION,NONE,
30/04/2014,09:03:00,NON-CRIMINAL,Wednesday,MISSION,PSYCHOPATHIC CASE,
02/06/2006,10:10:00,OTHER OFFENSES,Friday,BAYVIEW,JUVENILE BOOKED,
11/11/2014,07:25:00,SUSPICIOUS OCC,Tuesday,NORTHERN,NONE,
29/12/2013,02:24:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
01/03/2004,00:01:00,OTHER OFFENSES,Monday,NORTHERN,NONE,
16/11/2012,18:05:00,WARRANTS,Friday,NORTHERN,ARREST,BOOKED
16/05/2008,08:15:00,SUSPICIOUS OCC,Friday,MISSION,NONE,
02/05/2003,17:31:00,DRUG\/NARCOTIC,Friday,TENDERLOIN,ARREST,BOOKED
21/09/2010,07:30:00,MISSING PERSON,Tuesday,SOUTHERN,NONE,
12/04/2004,09:00:00,FORGERY\/COUNTERFEITING,Monday,MISSION,NONE,
20/01/2003,17:01:00,WEAPON LAWS,Monday,SOUTHERN,ARREST,BOOKED
21/03/2009,10:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
07/03/2015,01:30:00,VANDALISM,Saturday,RICHMOND,ARREST,BOOKED
27/01/2006,14:14:00,SUSPICIOUS OCC,Friday,BAYVIEW,NONE,
12/08/2010,13:00:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
01/10/2013,00:20:00,PROSTITUTION,Tuesday,MISSION,ARREST,CITED
01/05/2008,22:50:00,ASSAULT,Thursday,MISSION,ARREST,BOOKED
22/10/2011,11:00:00,RUNAWAY,Saturday,PARK,LOCATED,
11/12/2006,03:00:00,FRAUD,Monday,MISSION,ARREST,BOOKED
13/10/2003,18:00:00,OTHER OFFENSES,Monday,INGLESIDE,NONE,
26/09/2010,19:00:00,SEX OFFENSES FORCIBLE,Sunday,SOUTHERN,NONE,
